item #,price,title,link
0,17.599,Samsung Galaxy A20 32 GB Negro 3 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a20-32-gb-negro-3-gb-ram/p/MLA14643329?source=search#searchVariation=MLA14643329&position=1&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
1,10.499,Samsung Galaxy M10 16 GB Azul océano 2 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-m10-16-gb-azul-oceano-2-gb-ram/p/MLA14648834?source=search#searchVariation=MLA14648834&position=2&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
2,27.999,Samsung Galaxy A50 64 GB Negro 4 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a50-64-gb-negro-4-gb-ram/p/MLA14954545?source=search#searchVariation=MLA14954545&position=3&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
3,16.499,Samsung Galaxy A10 32 GB Negro 2 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a10-32-gb-negro-2-gb-ram/p/MLA14648964?source=search#searchVariation=MLA14648964&position=4&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
4,39.999,Samsung Galaxy S9+ 64 GB Gris titanio 6 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-s9-64-gb-gris-titanio-6-gb-ram/p/MLA9044105?source=search#searchVariation=MLA9044105&position=5&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
5,8.739,Samsung Galaxy J2 Core 16 GB Negro 1 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-j2-core-16-gb-negro-1-gb-ram/p/MLA15175495?source=search#searchVariation=MLA15175495&position=6&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
6,19.999,Samsung Galaxy A30 32 GB Negro 3 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a30-32-gb-negro-3-gb-ram/p/MLA14542732?source=search#searchVariation=MLA14542732&position=7&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
7,42.999,Samsung Galaxy A70 128 GB Negro 6 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a70-128-gb-negro-6-gb-ram/p/MLA14674675?source=search#searchVariation=MLA14674675&position=9&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
8,38.999,Samsung Galaxy Note8 64 GB Negro medianoche 6 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-note8-64-gb-negro-medianoche-6-gb-ram/p/MLA9127145?source=search#searchVariation=MLA9127145&position=10&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
9,25.999,Samsung Galaxy A30s Dual SIM 64 GB Prism crush black 4 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a30s-dual-sim-64-gb-prism-crush-black-4-gb-ram/p/MLA15303142?source=search#searchVariation=MLA15303142&position=11&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
